「ワンピース」の主人公モンキー・D・ルフィの夢は何か？,2,ゴールデン・オールドを見つけること,海賊王になること,世界中の料理を食べること,宇宙を旅すること
「ワンピース」に登場する三大武器といえば、光月アイヌ、プルトン、何？,4,ミケランジェロ,ニクス,シャイニング,ポセイドン
主人公モンキー・D・ルフィが持っている宝物は何か？,3,ワンピース,黄金郷,ゴムゴムの実,海賊万博
海賊王ゴールド・ロジャーの最期の言葉は何か？,1,「俺の財宝とやらを探せ！」,「海賊王に俺はなる！」,「俺がお前たちに道を教えてやる！」,「海に飛び込め！」
ルフィが倒した四皇のうち、女性の海賊は誰？,2,ビッグ・マム,黒ひげ,白ひげ,赤犬
ルフィが「ONE PIECE」を手に入れるために必要なものは何？,4,仲間,お金,船,勇気
トラファルガー・ローが能力者の能力である「オペ・オペの実」を手に入れたときに犠牲にしたものは？,3,自分の寿命,自分の体の一部,仲間,家族
船医のトニートニー・チョッパーが人間になった「人間薬」を作ったのは誰？,2,ヒルルク,ワポル,カリファ,ケイミー
ルフィたち麦わら海賊団が所属するグランドラインの第二半球の四皇は誰？,4,カイドウ,ビッグマム,黒ひげ,シャンクス
ルフィが初めて手に入れた「ゴムゴムの実」を食べる前に仲間になったのは誰？,3,シャンクス,ナミ,ゾロ,ウソップ
ルフィの初登場は何話？,1,第1話,第5話,第20話,第50話
ゾロが最初に手に入れた剣の名前は何？,2,和道一文字,三代鬼徹,雪走,閻魔
サンジの出身地はどこ？,3,イーストブルー,イーストブルー,ノースブルー,サウスブルー
ウソップの父の名前は？,1,ヤソップ,ジャンゴ,バギー,シャンクス
ナミが航海士として加入したのは何話？,4,第1話,第5話,第10話,第44話
フランキーの本名は何？,2,カティ・フラム,カット・フラム,フランク・フルー,フレディ・フラム
ブルックが所属していた海賊団の名前は？,3,麦わらの一味,赤髪の海賊団,ルンバー海賊団,黒ひげ海賊団
ロビンが最初に登場したのは何話？,1,第52話,第67話,第77話,第100話
ジンベエが麦わらの一味に加入したのは何話？,4,第600話,第700話,第800話,第903話
ルフィが初めてギアセカンドを使用したのは何話？,2,第272話,第284話,第300話,第320話
ゾロが最初に使用した三刀流の技の名前は？,3,鬼斬り,牛斬り,鬼風,龍巻
サンジの悪魔の実の能力は何？,4,透明透明の実,爆破爆破の実,ロケットロケットの実,透明透明の実
ウソップが初めて作った道具は？,1,ウソップハンマー,ウソップキャップ,ウソップバッグ,ウソップスリングショット
ナミが最初に盗んだ宝の名前は？,2,航海日誌,黄金の船,宝石,地図
チョッパーが最初に食べた悪魔の実は？,3,ヒトヒトの実,ウシウシの実,トナカイトナカイの実,カメカメの実
フランキーが作った船の名前は？,4,サウザンドサニー,ゴーイングメリー,ミスティックベル,ゴールデンメリー
ブルックが最初に演奏した曲の名前は？,1,ビンクスの酒,海賊の歌,骨のソナタ,魂の旋律
ロビンが読みたかった歴史の本の名前は？,2,リオポーネグリフ,ポーネグリフの書,大海賊の秘密,古代の歴史
ジンベエが最初に登場したのは何話？,3,第430話,第500話,第528話,第600話
ルフィの師匠レイリーが初登場したのは何話？,4,第400話,第450話,第480話,第500話
ゾロが初めて「阿修羅」を使用したのは何話？,1,第298話,第300話,第320話,第350話
サンジが初めて「地獄の脚」を使用したのは？,2,第400話,第413話,第420話,第450話
ウソップが最初に登場したのは何話？,3,第8話,第10話,第17話,第20話
ナミが最初に登場したのは何話？,4,第1話,第5話,第8話,第10話
チョッパーが最初に登場したのは何話？,1,第81話,第85話,第90話,第100話
フランキーが最初に登場したのは何話？,2,第233話,第235話,第240話,第250話
ブルックが最初に登場したのは何話？,3,第337話,第340話,第345話,第350話
ロビンが最初に使用した技の名前は？,4,フラワーフラワーフルーツ,ハナハナの実,フラワーハンド,ハナハナの力
ジンベエが最初に使用した技の名前は？,1,水流槍,水流拳,水流砲,水流刃
ルフィの母親の名前は何？,2,オリビア,未公開,ベロ・ベティ,アルビダ
ゾロの幼なじみの名前は何？,3,たしぎ,くいな,ヒナ,ペローナ
サンジが愛してやまない女性の名前は？,4,ナミ,ロビン,ヴィオラ,プリン
ウソップの夢は何？,1,勇敢な海の戦士になる,世界一の射手になる,偉大な船長になる,伝説の海賊になる
ナミが最初に描いた航海図は何の島？,2,ココヤシ村,オレンジの町,ローグタウン,アラバスタ
チョッパーが憧れる医者の名前は？,3,クレハ,ヒルルク,クロコダイル,バギー
フランキーの特技は何？,4,造船,料理,航海,狙撃
ブルックの夢は何？,1,再びラブーンに会う,最強の剣士になる,伝説の歌手になる,海の王になる
ロビンが最初に所属していた組織の名前は？,2,バロックワークス,革命軍,CP9,海軍
ジンベエの故郷はどこ？,3,フィッシュマン島,マーメイド島,フィッシュマンアイランド,サンゴの海
ルフィが最初に「ギアスリード」を使用したのは何話？,4,第400話,第420話,第450話,第467話
